epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.753,1.39892,1.08439,1.1392,0.95605,0.95988,0.97483,0.71847,1.0681,23.9636,1.02925,0.000555384,0.000555384,0.000555384
2,792.219,1.02422,0.64645,0.98932,0.9605,0.96718,0.9829,0.79478,0.85591,31.7329,0.95832,0.00108355,0.00108355,0.00108355
3,1084.86,0.93028,0.57812,0.96264,0.96045,0.96798,0.9845,0.82105,0.78485,40.4507,0.9369,0.00158421,0.00158421,0.00158421
4,1377.16,0.86325,0.5445,0.94046,0.96131,0.96781,0.98853,0.84269,0.72591,34.6655,0.91875,0.00154323,0.00154323,0.00154323
5,1668.72,0.81653,0.51705,0.92757,0.96931,0.96649,0.98845,0.8613,0.67759,30.6614,0.90347,0.00150197,0.00150197,0.00150197
6,1960.88,0.77556,0.48899,0.91783,0.96601,0.96298,0.9894,0.86941,0.66571,12.4603,0.90304,0.00146071,0.00146071,0.00146071
7,2253.26,0.74907,0.47327,0.9101,0.97184,0.96939,0.9913,0.88222,0.64116,6.12082,0.89384,0.00141945,0.00141945,0.00141945
8,2544.93,0.72772,0.46215,0.90568,0.97394,0.96984,0.98998,0.88209,0.61485,2.87346,0.8881,0.00137819,0.00137819,0.00137819
9,2837.51,0.70989,0.44962,0.90184,0.97442,0.97535,0.99201,0.89265,0.60346,1.31892,0.88294,0.00133693,0.00133693,0.00133693
10,3130.69,0.68996,0.4341,0.8959,0.97113,0.97401,0.9899,0.89371,0.59611,1.8313,0.88168,0.00129568,0.00129568,0.00129568
11,3422.92,0.67451,0.42792,0.89194,0.97488,0.97498,0.99094,0.90036,0.56861,1.24235,0.87133,0.00125442,0.00125442,0.00125442
12,3714.1,0.6709,0.42492,0.89183,0.97085,0.9759,0.99313,0.90783,0.56098,1.57918,0.87346,0.00121316,0.00121316,0.00121316
13,4005.9,0.66226,0.415,0.89028,0.98617,0.98412,0.9933,0.91117,0.55655,0.53478,0.87085,0.0011719,0.0011719,0.0011719
14,4300.01,0.64879,0.40676,0.88574,0.97861,0.9786,0.99291,0.91573,0.53878,1.03701,0.86747,0.00113064,0.00113064,0.00113064
15,4592.45,0.63799,0.40372,0.88319,0.98961,0.98774,0.99393,0.91901,0.52841,0.59096,0.86237,0.00108938,0.00108938,0.00108938
16,4887.13,0.63326,0.39058,0.88261,0.99078,0.99009,0.99412,0.9213,0.52785,0.47284,0.86345,0.00104813,0.00104813,0.00104813
